WL,primary R,Randomization 1 ,Randomization 2,Randomization 3,Randomization 4,Afirst,Afront,Aback,alpha cSi,n,alpha aSi,AM1.5g(l2)
300,1,1.3,0.08,2,0.08,1,1,0.999759636,352500000,9.794444444,44000000,0.1361038
310,1,1.3,0.08,2,0.08,1,1,0.99975172,312100000,9.398888889,43000000,0.681138
320,1,1.3,0.08,2,0.08,1,1,0.999743544,271700000,9.003333333,42000000,2.092695
330,1,1.3,0.08,2,0.08,1,1,0.999735099,231300000,8.607777778,41000000,4.132765
340,1,1.3,0.08,2,0.08,1,1,0.985716905,190900000,8.212222222,40000000,4.53694
350,1,1.3,0.08,2,0.08,1,1,0.954156736,150500000,7.816666667,39000000,5.216045
360,1,1.3,0.08,2,0.08,1,1,0.894842567,110100000,7.421111111,38000000,5.38857
370,1,1.3,0.08,2,0.08,1,1,0.838305838,69700000,7.025555556,37000000,6.700965
380,1,1.3,0.08,2,0.08,1,1,0.798717663,29300000,6.63,36000000,6.644195
390,1,1.3,0.08,2,0.08,1,1,0.760795629,15000000,6.064,35000000,6.76884
400,1,1.3,0.08,2,0.08,1,1,0.738470537,9520000,5.632,34000000,9.484353333
410,1,1.3,0.08,2,0.08,1,1,0.716956506,6740000,5.332,33000000,11.6838
420,1,1.3,0.08,2,0.08,1,1,0.697033789,5000000,5.137,32000000,12.2332
430,1,1.3,0.08,2,0.08,1,1,0.667559698,3920000,4.954,30000000,11.26456
440,1,1.3,0.08,2,0.08,1,1,0.648816632,3110000,4.823,29000000,13.5833
450,1,1.3,0.08,2,0.08,1,1,0.61758821,2550000,4.693,27000000,15.0243
460,1,1.3,0.08,2,0.08,1,1,0.57352187,2100000,4.59175,24000000,15.6501
470,1,1.3,0.08,2,0.08,1,1,0.539338461,1720000,4.505,22000000,15.5836
480,1,1.3,0.08,2,0.08,1,1,0.487925116,1480000,4.419,19000000,15.955
490,1,1.3,0.08,2,0.08,1,1,0.451381809,1270000,4.3545,17000000,15.149
500,1,1.3,0.08,2,0.08,1,1,0.393903309,1110000,4.295,14000000,15.3906
510,1,1.3,0.08,2,0.08,1,1,0.349356613,970000,4.2405,12000000,15.5723
520,1,1.3,0.08,2,0.08,1,1,0.326835182,880000,4.194,11000000,14.9156
530,1,1.3,0.08,2,0.08,1,1,0.282099675,785000,4.151,9100000,15.3045
540,1,1.3,0.08,2,0.08,1,1,0.250848374,705000,4.1126,7800000,15.3348
550,1,1.3,0.08,2,0.08,1,1,0.221184892,639000,4.07775,6600000,15.4261
560,1,1.3,0.08,2,0.08,1,1,0.196329754,578000,4.0436,5600000,15.1044
570,1,1.3,0.08,2,0.08,1,1,0.169829331,532000,4.016,4700000,14.9056
580,1,1.3,0.08,2,0.08,1,1,0.146687342,488000,3.987666667,3900000,15.0687
590,1,1.3,0.08,2,0.08,1,1,0.130981414,449000,3.962,3300000,14.4147
