Dopant concentration,Resistivity
1.00E+12,13262.45912
1.20E+12,11032.70624
1.45E+12,9177.529521
1.74E+12,7634.140838
2.09E+12,6350.218286
2.51E+12,5282.186515
3.02E+12,4393.768942
3.63E+12,3654.773478
4.37E+12,3040.076763
5.25E+12,2528.77594
6.31E+12,2103.481217
7.59E+12,1749.726349
9.12E+12,1455.477648
1.10E+13,1210.725241
1.32E+13,1007.142872
1.58E+13,837.8048289
1.91E+13,696.9504107
2.29E+13,579.7879887
2.75E+13,482.3320046
3.31E+13,401.2673789
3.98E+13,333.8367233
4.79E+13,277.7465231
5.75E+13,231.0891011
6.92E+13,192.2777081
8.32E+13,159.9925327
1.00E+14,133.1357941
1.20E+14,110.7943893
1.45E+14,92.20882377
1.74E+14,76.74737013
2.09E+14,63.88457306
2.51E+14,53.18337107
3.02E+14,44.2802258
3.63E+14,36.87275309
4.37E+14,30.70943492
5.25E+14,25.58106223
6.31E+14,21.31361724
7.59E+14,17.76235329
9.12E+14,14.80686963
1.10E+15,12.34701944
1.32E+15,10.29949758
1.58E+15,8.595010516
1.91E+15,7.175918503
2.29E+15,5.994275235
2.75E+15,5.010197209
3.31E+15,4.190507446
3.98E+15,3.507607368
4.79E+15,2.938538456
5.75E+15,2.464201766
6.92E+15,2.06870874
8.32E+15,1.738841221
1.00E+16,1.463602309
1.20E+16,1.233842766
1.45E+16,1.041950264
1.74E+16,0.8815909
2.09E+16,0.747494189
2.51E+16,0.635274209
3.02E+16,0.541280829
3.63E+16,0.462476922
4.37E+16,0.396331905
5.25E+16,0.340740883
6.31E+16,0.293950439
7.59E+16,0.254500035
9.12E+16,0.221172684
1.10E+17,0.192953924
1.32E+17,0.168997705
1.58E+17,0.148596891
1.91E+17,0.131163766
2.29E+17,0.116205199
2.75E+17,0.103309875
3.31E+17,0.092134432
3.98E+17,0.082393925
4.79E+17,0.073849227
5.75E+17,0.066305425
6.92E+17,0.059602763
8.32E+17,0.053611506
1.00E+18,0.048229958
1.20E+18,0.043375306
1.45E+18,0.038980801
1.74E+18,0.034989803
2.09E+18,0.031351002
2.51E+18,0.028015159
3.02E+18,0.024934531
3.63E+18,0.022066209
4.37E+18,0.019379704
5.25E+18,0.016866135
6.31E+18,0.014541232
7.59E+18,0.012436937
9.12E+18,0.010581225
